date,dish_name,restaurant_name,price,description,image
2 May 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM5.50,Taking the probably hours old sambal wasn't a great idea.,"2023/May/2023, May, image 2.png"
2 May 2023 (Tuesday),Nasi Goreng Kampung Tambah Nasi,Dapo Sahang,RM7.00,"Suprisingly I can finish this in 1 go.
              The strategy I used was slowly chip off the cooler edges so the insides remain warm.","2023/May/2023, May, image 3.png"
3 May 2023 (Wednesday),Nasi Campur,Dapo Sahang,RM7.90,"What in the pricing is this, this is more expensive than most Dapo meals...
          Assuming egg is 1.5, what price are the other things?
          I should've asked the breakdown...

          Oh yea actual lunch wasn't being served yet.","2023/May/2023, May, image 4.png"
3 May 2023 (Wednesday),Nasi Goreng Kampung Tambah Nasi,Dapo Sahang,RM7.00,I can finish tambah nasi normally now?,"2023/May/2023, May, image 5.png"
4 May 2023 (Thursday),Nasi Campur,Dapo Sahang,RM6.00,I assume lunch only serves after 12pm.,"2023/May/2023, May, image 6.png"
4 May 2023 (Thursday),Nasi Goreng Ayam,Dapo Sahang,RM7.50,"I mean, it just costs 50 sen more compared to tambah nasi.
          I was planning to order their Char Kuey Teow, but they say they only have rice for now.","2023/May/2023, May, image 7.png"
5 May 2023 (Friday),Nongshim Korean Clay Pot Ramyun,No restaurant name,"""Free""","Clearing old stock, expired on 21/3/2023.
          I should survive fine after this.","2023/May/2023, May, image 8.png"
8 May 2023 (Monday),Nasi Campur,Dapo Sahang,RM5.50,Physic midterms got me acting unwise.,"2023/May/2023, May, image 9.png"
8 May 2023 (Monday),Nasi Goreng Kampung Tambah Nasi,Dapo Sahang,RM7.00,"I'm getting sick of this.
          Maybe I need to expand on other food options.","2023/May/2023, May, image 10.png"
9 May 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM5.50,"Exacting slight ""revenge"" on the rm 7.9 I had a lil while back.
          Profits include 1 scoop of kuetiao and an extra chicken skin.

          Who needs morality when you can finish it?","2023/May/2023, May, image 11.png"
10 May 2023 (Wednesday),Nasi Campur,HTC,RM8.00,"I should've poured curry on the rice instead of on the side.
      
Rice - RM 2.00
Chicken - RM 5.00
Vegetable - RM 1.00","2023/May/2023, May, image 12.png"
10 May 2023 (Wednesday),Crispy Chicken Chop,Dapo Sahang,RM10.00,"Feeling a little baller tonight, not enough sauce.
          Maybe a bad idea to eat heaty things during ulcer season?","2023/May/2023, May, image 13.png"
11 May 2023 (Thursday),Nasi Campur,Dapo Sahang,RM5.50,"Going at 1pm ish, they almost ran out of my red chicken.","2023/May/2023, May, image 14.png"
11 May 2023 (Thursday),Nasi Goreng Seafood,Dapo Sahang,RM8.00,"2 prawn, 3 squid... not rings.","2023/May/2023, May, image 15.png"
12 May 2023 (Friday),Kuey Tiao,Dapo Sahang,RM3.00,"To prevent myself from being hungry during quiz, yes.","2023/May/2023, May, image 16.png"
12 May 2023 (Friday),Nasi Campur,Dapo Sahang,RM5.50,I took too much hard parts for the cabbage. Pain.,"2023/May/2023, May, image 17.png"
15 May 2023 (Monday),Mie Sedaap x2,Perisa Asli,"""Free""","Sudden rain made me want to stay here.

          ""I think I have some sort of ew factor towarde bumbu. When is the last time I had non indo noodles?""","2023/May/2023, May, image 18.png"
15 May 2023 (Monday),Nasi Goreng Ayam,Dapo Sahang,RM7.50,"Is it normal if NGB somehow burns me worse than NGK?
          For komatra it's just tasteless ish, whereas this one just burns you.

          What am I supposed to eat?
          They keep killing off menu items, such as noodles and even some side dishes now...","2023/May/2023, May, image 19.png"
16 May 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM5.50,"A new vegetable approaches!
          I have no idea what this is, but it is edible.","2023/May/2023, May, image 20.png"
16 May 2023 (Tuesday),Spaghetti Aglio Olio,Dapo Sahang,RM12.00,"This is... expensive.
          2 prawns, 4 squid pipes, some mushroom slices, and capsicum.","2023/May/2023, May, image 21.png"
17 May 2023 (Wednesday),Spaghetti,Dapo Sahang,RM4.00,"2.5 scoops, with a little sambal.
          IT'S BASICALLY AGLIO OLIO IF IT WAS BATCH COOKED WITHOUT THE SEAFOOD

          I ate this a little too early.","2023/May/2023, May, image 22.png"
17 May 2023 (Wednesday),Nasi Lemak,Starbees,RM4.00,"Fear of getting hungry before dinner, I went to starbees for this.
          Half an egg, amounts of peanuts + anchovies.
          But damn does the sambal burns.

          On the bright side, this is exactly the cost if I were to eat HTC (rm4 x 2).","2023/May/2023, May, image 23.png"
17 May 2023 (Wednesday),Nasi Goreng Kampung Tambah Nasi,Dapo Sahang,RM7.00,"So I did get a little hungry, this is what I ate.
          I still can finish a tambah nasi normally.

          I gotta find alternative food.","2023/May/2023, May, image 24.png"
18 May 2023 (Thursday),Nasi Campur,Dapo Sahang,RM5.50,"Curry at home is better.
          The red chicken is small af.","2023/May/2023, May, image 25.png"
18 May 2023 (Thursday),Nasi Goreng Seafood Tambah Nasi,Dapo Sahang,RM9.00,"Its better without adding rice.
          Slightly more than 2 prawns, while its just 3 squids.","2023/May/2023, May, image 26.png"
19 May 2023 (Friday),Nasi Campur,Dapo Sahang,RM5.50,"A little sambal on the edge.
          Teh o ais is somehow free they said, so I took it.","2023/May/2023, May, image 27.png"
22 May 2023 (Monday),Nasi Campur,Dapo Sahang,RM5.50,A little ckt was taken.,"2023/May/2023, May, image 28.png"
22 May 2023 (Monday),Spaghetti Bolognese,Dapo Sahang,RM10.00,"More like meatball spaghetti.
          5 meatballs.","2023/May/2023, May, image 29.png"
23 May 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM5.50,"Not recommending beehoon, it has coriander.","2023/May/2023, May, image 30.png"
23 May 2023 (Tuesday),Crispy Chicken Chop,Dapo Sahang,RM10.00,Now theres enough sauce.,"2023/May/2023, May, image 31.png"
24 May 2023 (Wednesday),Pasta,Dapo Sahang,RM4.00,"4 scoops.
          I ate slightly later now, so hopefully I can last until dinner.","2023/May/2023, May, image 32.png"
24 May 2023 (Wednesday),Chicken Chop Rice (Thai Mayo),Hinz Kitchen,RM12.00,"Last I had this was 31 Jan 2023.
          Eating physically costs like RM 7 less.

          🫰to Ken for the ride.","2023/May/2023, May, image 33.png"
25 May 2023 (Thursday),Kuey Tiao,Dapo Sahang,RM3.00,"3 scoops = RM 3.
          I don't think I could recomend this anymore though...","2023/May/2023, May, image 34.png"
25 May 2023 (Thursday),Nasi Lemak,Starbees,RM4.00,"It fallen off, the spice isn't there anymore, and it tastes a little...
          Not as great vs the first time.","2023/May/2023, May, image 35.png"
25 May 2023 (Thursday),Chicken Chop Rice (Thai Mayo),Hinz Kitchen,RM15.80,"I was thinking, since yesterdays one couldn't fill me that much, what about this one?
          
Chicken Chop Rice (Thai Mayo) - RM 12.00
Extra rice - RM 2.00
Fried egg - RM 1.80
          
        Turns out it was overkill, managed to finish all but the coleslaw.
        Overkill in both price and fullness.","2023/May/2023, May, image 36.png"
25 May 2023 (Thursday),Homemade Herbal Tea Ice,Hinz Kitchen,RM4.00,"Good drink, nothing much to say, apart from the price.","2023/May/2023, May, image 37.png"
26 May 2023 (Friday),Nasi Campur,Dapo Sahang,RM5.50,"I feel like it's more economical to eat the breakfast food, but then I may starve.
          Besides, foods cold after quite a while of being outside.","2023/May/2023, May, image 38.png"
29 May 2023 (Monday),Nasi Campur,Dapo Sahang,RM5.50,It seems like they added some green stuff.,"2023/May/2023, May, image 39.png"
29 May 2023 (Monday),Kids Noodles Set A,GO Noodle House,RM 16.10 RM 13.90,"No, NO.
          No pictures, just no.

          This is the day I learnt ""1 money 1 product"". Honestly I could just buy 2 & chaw it down no problem.
          But I never was a big fan of this place, there's likely better options in DPulze.

          Sauce: 2139264 @ Danbooru","2023/May/2023, May, image 40.png"
29 May 2023 (Monday),Mamee Express Cup,Chicken Flavour,"""Free""","There is no way I'm surviving till sunrise.
          
          Expiry date: 16:44, 18/3/2023","2023/May/2023, May, image 41.png"
30 May 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM5.50,"Both the yellow and white version has their unique tastes.
          Former is dry, latter is wet.","2023/May/2023, May, image 42.png"
30 May 2023 (Tuesday),Nasi Goreng Biasa Tambah Nasi,Dapo Sahang,RM6.00,"Additional modifier:
          
No spicy
          
        On the bright side, they actually have this customisation.
        It wont burn my mouth now.

        Flip side is... Am I really going to cope with this?","2023/May/2023, May, image 43.png"
31 May 2023 (Wednesday),Nasi Campur,HTC,RM8.00,"Damn I'm full.
      
Rice - RM 2.00
Chicken - RM 5.00
Vegetable - RM 1.00","2023/May/2023, May, image 44.png"
31 May 2023 (Wednesday),Salted Egg Milky Sauce Pork,Fu Jee Ulu Yam Loh Mee,RM12.00,"Finally ordered BABI after several months, last seen 8 Nov 22.

          ""Can I have an empty cup?"" proceeds to pour own water into said cup, cheapskate.","2023/May/2023, May, image 45.png"
1 June 2023 (Thursday),CKT + Maggi + Fried egg,Vendor #1,RM6.00,"""Sapot lokal""
proceeds to not support business week kids

Char Kuey Teow - 1 scoop
Maggi - 1 scoop
Fried egg - RM 1

              Personally, edible, better than HTC.","2023/June/2023, June, image 1.png"
1 June 2023 (Thursday),Leftovers,Vendor #2,"""Free""","Ew, it's cold, and America is going to invade me purely on the oil.
                  
Fries
Squid?
Not prawn??
???
                  
                It's rare for food to make me fully stop myself, but this is one of them.","2023/June/2023, June, image 2.png"
1 June 2023 (Thursday),Chicken² Burger,Bakery,RM6.50,"Better than Criss to some degree.
                  Not to mention, they don't open consistently now?
                  
Base burger - RM 4.50
+ Chicken patty - RM 2.00","2023/June/2023, June, image 3.png"
2 June 2023 (Friday),Nasi Campur,Dapo Sahang,RM5.50,"Nasi lemak rice is back again
            Free teh ais as well.","2023/June/2023, June, image 4.png"
4 June 2023 (Sunday),Classic Burger,Texas Chicken,RM 17.50++ RM 6.50,"Significant damage today.
          But all was worth it.
          Won the battle, lost the war.
          ""Unbowed, unbent, unbroken""
Pls do not order so little next time, its basically kids meal v2.
          Total cash damage logs below:
          
Entrace to PWTC - RM 10.00
Mineral Water - RM 1.00
Burger - RM 6.50
🚗 - RM ???","2023/June/2023, June, image 5.png"
6 June 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM6.50,"Why the price raise, did I took too much vege?
          Anyways, vegetable taste like sad. Maybe because I did not had this for so long.

          mmmm, salted fish bones.","2023/June/2023, June, image 6.png"
6 June 2023 (Tuesday),Yang Zhou Fried Rice,Fu Jee Ulu Yam Loh Mee,RM9.00,"A little weird as I ate a little too slow, everyone finished before me.
          So I decided to have it takeaway, and continue in hostel.
          It was fine.","2023/June/2023, June, image 7.png"
7 June 2023 (Wednesday),Nasi Campur,Dapo Sahang,RM5.50,"Maybe it was the vegetable that caused the price raise?
          Something is changing...","2023/June/2023, June, image 8.png"
7 June 2023 (Wednesday),Maggi Goreng Ayam,Famous Bistro Cafe,RM9.00,"I swear I saw the menu it's 8.50, but the receipt said 9.
          Much luv to ndq for footing my 50 sen mishap.","2023/June/2023, June, image 9.png"
8 June 2023 (Thursday),Mihun,Dapo Sahang,RM4.00,"3 scoops, and an egg.
          I swear it was fine when I was hungry, then the more I ate the less... appetising it felt.
          Egg was slightly weirdga, same goes to sambal, only after I got slightly full.","2023/June/2023, June, image 10.png"
8 June 2023 (Thursday),Nasi Goreng Ayam,Dapo Sahang,RM7.50,"Been a while since I had you.
          As usual, no spicy.

          Although the taste could've been better with it, but it burns me.","2023/June/2023, June, image 11.png"
9 June 2023 (Friday),Chicken Shawarma Large,?,RM 10.00 Free,"Much luv to ma man kosh, also free leftovers as well which made me fatbod.","2023/June/2023, June, image 12.png"
12 June 2023 (Monday),Nasi Campur,Dapo Sahang,RM6.00,"KANGKUNG BURNS
          Also priced slightly higher vs cabbage but lower than kailan (?).
It seems like this site is in slight danger.","2023/June/2023, June, image 13.png"
12 June 2023 (Monday),Nasi Goreng Kampung Tambah Nasi,Dapo Sahang,RM7.00,"BURNNNNN
          I wonder if there's an option for ""kurang pedas"" instead of tak mau pedas.","2023/June/2023, June, image 14.png"
13 June 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM6.00,Errr... Did it actually raise for real?,"2023/June/2023, June, image 15.png"
13 June 2023 (Tuesday),Nasi Goreng Seafood,Dapo Sahang,RM8.00,"It's... 1 prawn, 2 squids now??
          All hail shrinkflation.
I wonder if I'm fine.","2023/June/2023, June, image 16.png"
14 June 2023 (Wednesday),Kuey Tiao,Dapo Sahang,RM3.00,"Solidifies me not going to have this anymore...
          Should I get a new lunch, or find some hot stuff to pair with it?","2023/June/2023, June, image 17.png"
14 June 2023 (Wednesday),Spaghetti,KUDRAT,Free,"A small booth by some FiC students, an option between a drink or this.
          They asked me to finish a quiz before taking it, so I just spammed ?","2023/June/2023, June, image 18.png"
14 June 2023 (Wednesday),Tomyam,Thailand booth,Free,"Thailand booth, a choice between a shot of milk tea, tomyam or some snacks after answering an attendance form.
          In my opinion, easier to do vs the Italian one, semi cured my cold/flu thingy until I froze up in lecture hall again.","2023/June/2023, June, image 19.png"
14 June 2023 (Wednesday),Chicken² Burger,Bakery,RM6.50,"Sauces everywhere, especially the brown one.
          
Base burger - RM 4.50
+ Chicken patty - RM 2.00","2023/June/2023, June, image 20.png"
15 June 2023 (Thursday),Oyakodon,?,RM8.00,"Finding non heaty stuff that can give change, it would be this.
          Honestly, edible, would go for it again, ignore the spring onions, it's still edible.","2023/June/2023, June, image 21.png"
15 June 2023 (Thursday),Oreo Mcflurry,No restaurant name,Free,"Not me thinking why I'm eating this when half sick.
          On the bright side my soreish throat did cure itself somehow.

          Much luv to ndq.","2023/June/2023, June, image 22.png"
15 June 2023 (Thursday),Nasi Goreng Kampung,Dapo Sahang,RM6.00,"I was thinking McFlurry can stuff me a little so I wouldn't need to order tambah nasi.
          W e l l, I got slightly hungry at night, but not too serious.
          So I just slept through it.

          I swore I ordered tak mau pedas, but I still found a chili.","2023/June/2023, June, image 23.png"
16 June 2023 (Friday),Nasi Campur,Dapo Sahang,RM5.50,It's back to 5.50?,"2023/June/2023, June, image 24.png"
19 June 2023 (Monday),Nasi Campur,Dapo Sahang,RM5.50,"Can we get like a strainer for the milky santany thing?
          Kinda ruins the rice for me.","2023/June/2023, June, image 25.png"
19 June 2023 (Monday),Nasi Goreng Kampung Tambah Nasi,Dapo Sahang,RM7.00,">Tak nak pedas
          >Chili still exists but not the whole chili

          O k a y.","2023/June/2023, June, image 26.png"
20 June 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM6.00,"I took less kangkung, it does not burn as bad with controlled intake.
          It may still affect me later.","2023/June/2023, June, image 27.png"
20 June 2023 (Tuesday),Various junk food,No restaurant name,Free,"I don't think I'll be feeling well after this.
          
Mamee Express Cup (Chicken)
Mr. KIM Seaweed
Yeos' (chrysanthemum)
Ribena (1 cup)
Meadows noodle snacks (bbq)
Corn Cheese Crackers
    
          This is not real food at all.
          I'm just doing this to clear stock but turns out I'd get a better RoI eating 2 cup noodles instead.","2023/June/2023, June, image 28.png"
21 June 2023 (Wednesday),Oyakodon,?,RM8.00,"I have no idea what to eat.
          Quality is still same old same old edible food.","2023/June/2023, June, image 29.png"
21 June 2023 (Wednesday),Char Kuey Teow,Connaught Night Market,RM8.00,"Was ordering takeaway, they found a seat.
          Turns out the food was ready already, not that they forgotten me.","2023/June/2023, June, image 30.png"
22 June 2023 (Thursday),Mekdi fries,Food delivery,Free?,After I ate finish this I straight up went to bed.,"2023/June/2023, June, image 31.png"
22 June 2023 (Thursday),Mixed Rice,Mama Homecook Mixed Rice,RM8.80,"I'm all in for the free bottomless wan (not shit) cha + tong.
read the above in Canto","2023/June/2023, June, image 32.png"
22 June 2023 (Thursday),Mamee Express Cup (Chicken),No restaurant name,Free,Clearing stock.,"2023/June/2023, June, image 33.png"
22 June 2023 (Thursday),Numee,Spicy,Free,"How to ruin perfectly fine noodles 101, goreng without proper goreng materials.
          Took a mimi after.","2023/June/2023, June, image 34.png"
23 June 2023 (Friday),Nasi Campur,Dapo Sahang,RM7.00,Uh. What. Why are you getting expensive.,"2023/June/2023, June, image 35.png"
23 June 2023 (Friday),Nasi Goreng Seafood Tambah Nasi,Dapo Sahang,RM9.00,"I'm banning this thing, the rice is wet.
          I should've topped up 1 more ringgit for actual decent food.","2023/June/2023, June, image 36.png"
24 June 2023 (Saturday),Kra Paw Chicken Rice,Boat Noodle,RM19.90,"1st time trying, I'm not a fan of the noodles.
          Mall food do be expensive, this is a whole day at mmu.

          Additional expenses below:
          
Grab - RM 9
Day pass - RM 5
Presumed movie top up - RM 10

          Going out is expensive and consumes time.
actually lets just count the additional expenses above","2023/June/2023, June, image 37.png"
24 June 2023 (Saturday),Maggi Goreng Mamak,"Restoran Nasi Kandar D""Tas Maju",RM6.00,"It's... good enough? Ignoring the tofu.

          Additional expenses below:
          
MRT on the way back - RM 3.90
    
          ...well unless it's worth enough with people sponsoring some of ur trip
i paid for this thing","2023/June/2023, June, image 38.png"
3 July 2023 (Monday),Mixed Rice,Mama Homecook Mixed Rice,RM8.80,"Did they just take away my plate when I just went to refill tea?
                    I'm not even done with my chicken skin...","2023/July/2023, July, image 1.png"
3 July 2023 (Monday),Creamy Butter Pork Rice,Hinz Kitchen,RM14.90,"Price breakdown:
                    
Creamy Butter Pork Rice - RM 10.90
Homemade Herbal Tea - RM 4.00","2023/July/2023, July, image 2.png"
4 July 2023 (Tuesday),Spicy Chicken McDeluxe Medium Set,McD,RM16.95,"Me thinking if fast food was cheap or I just ordered ""deluxe"".","2023/July/2023, July, image 3.png"
4 July 2023 (Tuesday),Nasi Goreng Kampung Tambah Nasi,Dapo Sahang,RM7.00,"Glugged down half a bottle for no reason, ends up cant finish it.","2023/July/2023, July, image 4.png"
5 July 2023 (Wednesday),Roti Telur,HTC,RM2.50,"I ran out of breakfast food, didn't want to gamble to do the paper on a near empty stomach.","2023/July/2023, July, image 5.png"
7 August 2023 (Monday),Nasi Campur,Pak Ngah,RM9.00,"First meal back in MMU.
          
Rice - RM 1.5?
Chicken - RM 6?
Vegetable - RM 1.5?","2023/August/2023, August, image 1.png"
7 August 2023 (Monday),"""叫菜吃饭""",Warung Hanna Crystalville,RM16.00,"I have no idea how to call this thing honestly.
          
Rice
Omlette
Ayam Kunyit
Kailan x2
Steam lemon chicken

          Slightly on the higher end, must be because of the fish.","2023/August/2023, August, image 2.png"
8 August 2023 (Tuesday),Mamee x2,No restaurant name,N/A,"One person goes to cook water, so another person thought they were eating noodles.
          I see the other person eating noodles, so I was thinking no one was going to go out.
          Ends up it was a 10/10 misunderstanding, at least I save some $.","2023/August/2023, August, image 3.png"
8 August 2023 (Tuesday),Aroii Thai,Food delivery,RM10.50,"Do I mind helping others take their food? Eh I don't think so, since sooner or later one of us has to take it anyways.","2023/August/2023, August, image 4.png"
9 August 2023 (Wednesday),Nasi Campur,Dapo Sahang,RM6.00,"It has been like forever since I had you, and your price just slightly changed.
          How nice.","2023/August/2023, August, image 5.png"
9 August 2023 (Wednesday),Nasi Goreng Kampung,Restoran Al Bidayah,RM7.00,"It's just +RM 1 vs Dapo, and it is out of campus, not complaining it does taste better kinda.","2023/August/2023, August, image 6.png"
10 August 2023 (Thursday),Dry Wantan Noodles (Add 1/2 noodles),HSH,RM8.00,"Didn't have enough exact cash, so TnG it is.","2023/August/2023, August, image 7.png"
10 August 2023 (Thursday),Aroii Thai,Food delivery,RM5,"Fuck it spilled, round 2 it is then.
          Also this egg thing, is less worth than the minced chicken? 
          As I can finish it before I finish the rice.","2023/August/2023, August, image 8.png"
15 August 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM6.50,"Do not take the mushrooms.
          Anyways I overheard rice + chicken is RM 5.","2023/August/2023, August, image 9.png"
15 August 2023 (Tuesday),Nasi Lemak Special,Warung Hanna,RM9.00,"With the probox.

          Do not take the egg its... kind of plastic-y.
          Mane ikan bilisnye, celah mak kau ke","2023/August/2023, August, image 10.png"
16 August 2023 (Wednesday),Nasi Campur,Dapo Sahang,RM5.50,"So in a sense, is this vege just 50 sen?
          Also I took all the remaining vege.","2023/August/2023, August, image 11.png"
16 August 2023 (Wednesday),Nasi Goreng Cina,Restoran Al Bidayah,RM7.00,"Nothing much to say here, forgot to jot down details regarding taste, which means it isn't too special.","2023/August/2023, August, image 12.png"
17 August 2023 (Thursday),Nasi Lemak Ayam Goreng?,Rasa Shiokkk,RM10.00,"Where juices, but temperature is there.
          More expensive than Hanna if we count overall worthiness, but at least it is fresh.

          God I gotta spend my ebelia faster.","2023/August/2023, August, image 13.png"
17 August 2023 (Thursday),Mixed Rice,Mama Homecook Mixed Rice,RM8.30,"Who even eats mixed rice this late at night when everything is cold?

          We ate until it closed shop, our cina souls looking at all the food they dumping, can't they just offer us beforehand?","2023/August/2023, August, image 14.png"
21 August 2023 (Monday),Nasi Campur,HTC,RM8.00,"I may have forgotten to take a picture when I gotten it.

          
Rice - RM 2.00
Chicken - RM 5.00
Vegetable - RM 1.00","2023/August/2023, August, image 15.png"
21 August 2023 (Monday),In-house cook,No restaurant name,"RM ""36.20""","Honestly no idea how to calculate prices from now on with this, so I'll list out however much I paid today.

          Sauce do be good.","2023/August/2023, August, image 16.png"
22 August 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM5.00,"Out of vegetables I liked.
          Take other chicken please, this is not as good as masak merah.","2023/August/2023, August, image 17.png"
22 August 2023 (Tuesday),In-house cook,No restaurant name,"RM ""5.125""","Fries and nuggets are sponsored from my home, so it isn't counted.
          It's cheaper today as I'm just calculating whatever I pay on a day to day basis, so any leftover groceries = not counted.","2023/August/2023, August, image 18.png"
23 August 2023 (Wednesday),Char Kuey Teow Udang,No restaurant name,RM7.00,"Sapot lokal, it was kinda raining so I didn't want to go to Dapo, and HTC is full.

          3 prawns.","2023/August/2023, August, image 19.png"
23 August 2023 (Wednesday),Nasi Goreng Ayam,Restoran Al Bidayah,RM9.50,"More expensive than both Dapo and HTC.
          This could be their Nasi Goreng Biasa without the meat.","2023/August/2023, August, image 20.png"
24 August 2023 (Thursday),Nasi Lemak Chicken Chop,Rasa Shiokkk,RM10.00,"Was debating between to take classic with additional rice or this, chose the latter to speeden up my ebelia spendings.
          I swore I said black pepper though...","2023/August/2023, August, image 21.png"
24 August 2023 (Thursday),Kampung Fried Rice,Hinz,RM12.50,"I was slightly doubting myself, turns out I can finish it.
          Remember to order no spicy though, it kinda burns? Though not heavy burn.","2023/August/2023, August, image 22.png"
28 August 2023 (Monday),Nasi Campur,HTC,RM9.00,"This chicken is quite big, can't finish it as the meat to skin ratio isn't there.
          Should've taken more curry.
          
Rice - RM 2.00
Chicken - RM 5.00
Vegetable - RM 1.00
Bakery mineral water - RM 1.00

          I love having dementia.","2023/August/2023, August, image 23.png"
28 August 2023 (Monday),Supposedly 干捞面,No restaurant name,Free kah ni?,"Other housemate cooked since his family came.
          Food? Good, tho I could've get more but there was no leftovers.","2023/August/2023, August, image 24.png"
29 August 2023 (Tuesday),Indomie classic,Rasa Shiokkk,RM5.00,"Literally just that.

          ""you dont eat egg yolks?? i cant believe you dont eat egg yolk"" - Herrscher of Teri circa 29/8/2023","2023/August/2023, August, image 25.png"
29 August 2023 (Tuesday),Creamy Butter Chicken with Rice,Ri Yue Ming,RM12.34,"Original price pre delivery is 14.00 (12.50 + 1.50). Voucher bought it down by 6, and delivery is free cause of PandaPro.

          Remember to pick out the chilis or have fun burning yourself. Sauce also slightly lacking in amount.","2023/August/2023, August, image 26.png"
30 August 2023 (Wednesday),Nasi Campur,Dapo Sahang,RM5.50,"First time I entirely forgotten about taking a picture.
          





          Have a trashcan image.","2023/August/2023, August, image 27.png"
30 August 2023 (Wednesday),Mee Goreng x2 + Fried Egg,No restaurant name,N/A,"So I'm free to raid the fridge.

          Who let him cook.","2023/August/2023, August, image 28.png"
4 September 2023 (Monday),Classic Nasi Lemak,Rasa Shiokkk,RM5.00,"""pretty good stuff"" - Blethz
                    ""this looks like pic from an advertisement"" - 4RCA9
                    ""Seems like the food matched the ad picture"" - [ -Elaina- ]","2023/September/2023, September, image 1.png"
4 September 2023 (Monday),Nasi Goreng Kampung Tambah Nasi,Dapo Sahang,RM7.00,"Apparently they don't do double maggi gorengs, as they say they would charge me for 2 plates.

                    Able to finish it, just drink less water (2 cups max?). Ignore the heat.","2023/September/2023, September, image 2.png"
5 September 2023 (Tuesday),Nasi Campur,Dapo Sahang,RM5.50,Veges was almost out & I was debating between the white one or sapu-ing this one.,"2023/September/2023, September, image 3.png"
5 September 2023 (Tuesday),Nasi Goreng Biasa,Restoran Al Bidayah,RM6.50,"Tastes better than Dapo, but +RM 1.5?","2023/September/2023, September, image 4.png"
6 September 2023 (Wednesday),Nasi Campur,Deens Cafe,RM9.00,"No way Junn in deens?!?!?!?
                    Slighty more expensive vs HTC, the chicken has less ""mamak taste"".","2023/September/2023, September, image 5.png"
6 September 2023 (Wednesday),Kuey Teow Goreng Biasa,Restoran Al Bidayah,RM6.50,The maggi goreng seems mid.,"2023/September/2023, September, image 6.png"
7 September 2023 (Thursday),Dry Kuey Tiao (spicy),Home Sweet Home,RM7.00,It's... not spicy??,"2023/September/2023, September, image 7.png"
7 September 2023 (Thursday),Nasi Goreng Pattaya,Restoran Al Bidayah,RM9.00,...Nasi goreng cina wrapped with egg.,"2023/September/2023, September, image 8.png"
8 September 2023 (Friday),Roti Telur,Restoran Al Bidayah,RM3.00,"This is like the 4th day in a row here, I ran out of breakfast food and I don't wanna drive home hungry.
                    Dhal tastes kinda burnt, everything else is fine.","2023/September/2023, September, image 9.png"
10 September 2023 (Sunday),Roasted Chicken Rice,Food District - Amin Chicken,RM12.00,"Hangout with some fresh faces, and 2 known ones.
          
Day pass - RM 5.00 (let's say I'm left with 45)
Movies - RM 24.00 
Lunch - RM 12.00 

          Self reminder to do everything yourself when the time comes when it is needed.
Got belanja-ed some thai milk tea, managed to not eat dinner at all & only ate a cup noodle after I got back.","2023/September/2023, September, image 10.png"
11 September 2023 (Monday),Julie's Peanut Butter Sandwich Biscuits,No restaurant name,RM8.45,Wait why am I paying for this. Independence moment.,"2023/September/2023, September, image 11.png"
11 September 2023 (Monday),Nasi Campur,Dapo Sahang,RM6.00,"Ew. Do not take the bottoms of the rice barrel, wait for new rice.
                    It's hard and at times feels like biting ""fake rice"".

                    Is it rm6 because of the amount of rice?","2023/September/2023, September, image 12.png"
11 September 2023 (Monday),Fried Rice 3 Pax,Mr Dakgalbi,RM39.31,"Night ride with housemates, add in shopping.

Dakgalbi dinner - RM 78.10 (I love free flow kimchi & the white thing)
Jaya Grocer - RM 67.35
Daiso - RM 11.80

                  Divide 4 for above prices.
                  
                  Imagine having an item you already bought.","2023/September/2023, September, image 13.png"
12 September 2023 (Tuesday),In-house cook,No restaurant name,"""Prepaid""","Chicken defrosting took too long as we were kinda last minute.
                
Curry chicken with potatoes & cabbage
(Presumed) stir fry cabbage with chili & garlic
Fried egg (additional after main course)
Pokka Jasmine Green Tea

                Class was skipped.","2023/September/2023, September, image 14.png"
12 September 2023 (Tuesday),In-house cook,No restaurant name,"""Prepaid""","Which smart one decided it was a great idea to put actual pepper balls instead of pepper flakes?
                    
San Remo no.5 Spaghetti 500g
Nutriplus Classic Chicken Frank
Prego Carbonara Mushroom
Mushroom Shiitake","2023/September/2023, September, image 15.png"
13 September 2023 (Wednesday),Char Kuey Teow Ayam,No restaurant name,RM8.00,"What the...

                    Ignore it being extremely swampy, it is edible.","2023/September/2023, September, image 16.png"
13 September 2023 (Wednesday),Maggi Goreng Telur,Self made,"""Free""","Boil the noodles in the wok
Pour out (almost) all the water into the sink
Add the seasoning, oil, sauce etc into the wok
Fry it on high heat
Add an egg while cooking
Stuff sticks
Gets the entire thing out
            
                  Overall, edible, a little on the drier end though.
                  Either I have to add more oil, or leave in more water.
                  
                  I ran out of Yeo's after this meal.","2023/September/2023, September, image 17.png"
